archivo,fecha_hora,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
p4_fila_094.html,2025-03-06 11:40:00,1.0,9.0,11.0,17.0,19.0,21.0,25.0,27.0,30.0,47.0,50.0,56.0,58.0,61.0,64.0,67.0,69.0,70.0,76.0,79.0
p4_fila_093.html,2025-03-06 11:45:00,3.0,5.0,6.0,11.0,14.0,16.0,22.0,30.0,39.0,47.0,53.0,54.0,58.0,63.0,72.0,73.0,74.0,78.0,82.0,89.0
p4_fila_092.html,2025-03-06 11:50:00,2.0,11.0,13.0,15.0,17.0,25.0,27.0,29.0,36.0,42.0,43.0,46.0,47.0,62.0,63.0,64.0,73.0,75.0,86.0,89.0
p4_fila_091.html,2025-03-06 11:55:00,6.0,10.0,12.0,17.0,22.0,25.0,41.0,45.0,46.0,47.0,48.0,54.0,55.0,59.0,67.0,71.0,73.0,78.0,81.0,87.0
p2_fila_014.html,2025-03-06 12:00:00,5.0,6.0,12.0,13.0,17.0,18.0,23.0,35.0,37.0,45.0,47.0,52.0,63.0,64.0,69.0,72.0,75.0,80.0,85.0,86.0
p2_fila_013.html,2025-03-06 12:05:00,1.0,5.0,10.0,11.0,12.0,14.0,18.0,23.0,24.0,27.0,32.0,34.0,50.0,52.0,54.0,61.0,65.0,73.0,81.0,89.0
p2_fila_012.html,2025-03-06 12:10:00,9.0,17.0,19.0,20.0,22.0,24.0,28.0,34.0,35.0,46.0,53.0,59.0,66.0,76.0,83.0,84.0,86.0,87.0,89.0,90.0
p2_fila_011.html,2025-03-06 12:15:00,9.0,10.0,15.0,20.0,24.0,26.0,30.0,45.0,49.0,52.0,57.0,58.0,59.0,61.0,68.0,70.0,71.0,81.0,82.0,85.0
p2_fila_010.html,2025-03-06 12:20:00,1.0,3.0,4.0,20.0,23.0,27.0,29.0,30.0,36.0,41.0,51.0,53.0,57.0,59.0,71.0,76.0,82.0,83.0,84.0,88.0
p2_fila_009.html,2025-03-06 12:25:00,2.0,10.0,13.0,16.0,20.0,27.0,30.0,36.0,39.0,54.0,55.0,56.0,64.0,66.0,71.0,77.0,82.0,83.0,84.0,85.0
p2_fila_008.html,2025-03-06 12:30:00,6.0,8.0,13.0,17.0,21.0,27.0,29.0,37.0,48.0,50.0,53.0,56.0,68.0,71.0,72.0,75.0,80.0,83.0,89.0,90.0
p2_fila_007.html,2025-03-06 12:35:00,1.0,12.0,19.0,21.0,22.0,33.0,39.0,41.0,43.0,44.0,48.0,49.0,52.0,57.0,58.0,59.0,65.0,79.0,86.0,87.0
p2_fila_006.html,2025-03-06 12:40:00,2.0,9.0,12.0,29.0,32.0,34.0,39.0,44.0,45.0,48.0,59.0,63.0,66.0,69.0,72.0,73.0,81.0,86.0,88.0,90.0
p2_fila_005.html,2025-03-06 12:45:00,3.0,5.0,9.0,13.0,17.0,21.0,30.0,34.0,42.0,49.0,50.0,51.0,57.0,59.0,60.0,69.0,71.0,87.0,88.0,90.0
p2_fila_004.html,2025-03-06 12:50:00,7.0,9.0,14.0,21.0,24.0,34.0,37.0,42.0,45.0,49.0,51.0,52.0,56.0,57.0,61.0,67.0,71.0,73.0,75.0,81.0
p2_fila_003.html,2025-03-06 12:55:00,1.0,9.0,13.0,15.0,24.0,27.0,35.0,37.0,41.0,42.0,43.0,48.0,54.0,60.0,78.0,79.0,84.0,87.0,88.0,90.0
p5_fila_065.html,2025-03-06 17:00:00,13.0,16.0,17.0,18.0,27.0,33.0,36.0,39.0,42.0,56.0,57.0,63.0,64.0,72.0,73.0,76.0,80.0,85.0,88.0,89.0
p5_fila_064.html,2025-03-06 17:05:00,4.0,14.0,21.0,22.0,27.0,31.0,32.0,40.0,41.0,42.0,47.0,54.0,57.0,60.0,64.0,67.0,75.0,77.0,79.0,83.0
p5_fila_063.html,2025-03-06 17:10:00,1.0,10.0,11.0,12.0,16.0,17.0,39.0,47.0,51.0,53.0,58.0,60.0,69.0,70.0,72.0,74.0,81.0,83.0,84.0,89.0
